Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
10:22:56.578290     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.604677     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.622412     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.640183     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.666822     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.684520     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.702506     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.720196     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.746824     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.764776     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.782674     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.800468     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.827046     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.844833     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.863044     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.880817     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.898767     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.925180     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.943036     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.960906     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:56.978848     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.005286     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.023021     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.040712     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.058646     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.085159     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.102907     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.120619     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.138497     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.165005     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.182743     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.200502     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.227170     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.244900     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.262834     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.280940     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.299040     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.325624     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
10:22:57.343388     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147475654    ,17.402          ,0.000         ,0.000               ,-0.000              ,-141.931        ,0.000             ,0.000                 
