Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
18:51:45.231305     ,0.000       ,0.000       ,-0.030      ,0.000         ,2147479484    ,354.023         ,0.000         ,0.000               ,-142.341        ,0.000             ,0.000                 
18:51:45.418186     ,0.000       ,0.000       ,-0.030      ,0.000         ,2147479484    ,354.023         ,0.000         ,0.000               ,-142.341        ,0.000             ,0.000                 
18:51:45.605039     ,0.000       ,0.000       ,-0.030      ,0.000         ,2147479484    ,354.023         ,0.000         ,0.000               ,-142.341        ,0.000             ,0.000                 
18:51:45.792033     ,0.000       ,0.000       ,-0.040      ,0.000         ,2147479484    ,354.023         ,0.000         ,0.000               ,-142.341        ,0.000             ,0.000                 
18:51:45.978352     ,0.000       ,0.000       ,-0.040      ,0.000         ,2147479484    ,354.023         ,0.000         ,0.000               ,-142.341        ,0.000             ,0.000                 
18:51:46.164832     ,0.000       ,0.000       ,-0.030      ,0.000         ,2147479484    ,354.023         ,0.000         ,0.000               ,-142.341        ,0.000             ,0.000                 
18:51:46.351357     ,0.000       ,0.000       ,-0.040      ,0.000         ,2147479484    ,354.023         ,0.000         ,0.000               ,-142.341        ,0.000             ,0.000                 
18:51:46.538065     ,0.000       ,0.000       ,-0.030      ,0.000         ,2147479484    ,354.023         ,0.000         ,0.000               ,-142.341        ,0.000             ,0.000                 
18:51:46.724906     ,0.000       ,0.000       ,-0.030      ,0.000         ,2147479484    ,354.023         ,0.000         ,0.000               ,-142.341        ,0.000             ,0.000                 
18:51:46.911706     ,0.000       ,0.000       ,0.050       ,0.001         ,2147479490    ,354.551         ,0.000         ,0.000               ,-142.341        ,0.000             ,0.000                 
18:51:47.097902     ,0.000       ,0.000       ,0.320       ,0.005         ,2147479552    ,0.000           ,0.000         ,0.000               ,-142.341        ,0.001             ,0.000                 
18:51:47.284285     ,0.000       ,0.000       ,0.290       ,0.016         ,2147479688    ,11.953          ,-2.000        ,-0.007              ,-142.347        ,0.014             ,0.003                 
18:51:47.470761     ,0.000       ,0.000       ,0.290       ,0.031         ,2147479882    ,29.004          ,-12.000       ,-0.042              ,-142.388        ,0.036             ,0.010                 
18:51:47.657100     ,0.000       ,0.000       ,0.290       ,0.050         ,2147480137    ,51.416          ,-25.000       ,-0.087              ,-142.476        ,0.058             ,0.022                 
18:51:47.843717     ,0.000       ,0.000       ,0.290       ,0.075         ,2147480459    ,79.717          ,-37.000       ,-0.129              ,-142.600        ,0.082             ,0.038                 
18:51:48.031789     ,0.000       ,0.000       ,0.230       ,0.103         ,2147480828    ,112.148         ,-52.000       ,-0.182              ,-142.769        ,0.108             ,0.060                 
18:51:48.218646     ,0.000       ,0.000       ,0.160       ,0.131         ,2147481186    ,143.613         ,-63.000       ,-0.220              ,-142.974        ,0.129             ,0.083                 
18:51:48.405387     ,0.000       ,0.000       ,0.060       ,0.154         ,2147481493    ,170.596         ,-68.000       ,-0.237              ,-143.192        ,0.138             ,0.103                 
18:51:48.592028     ,0.000       ,0.000       ,-0.100      ,0.167         ,2147481662    ,185.449         ,-58.000       ,-0.202              ,-143.360        ,0.131             ,0.118                 
18:51:48.779135     ,0.000       ,0.000       ,-0.350      ,0.159         ,2147481561    ,176.572         ,-37.000       ,-0.129              ,-143.472        ,0.098             ,0.121                 
18:51:48.965653     ,0.000       ,0.000       ,-0.440      ,0.135         ,2147481242    ,148.535         ,-3.000        ,-0.010              ,-143.465        ,0.026             ,0.104                 
18:51:49.152363     ,0.000       ,0.000       ,-0.400      ,0.103         ,2147480827    ,112.061         ,27.000        ,0.094               ,-143.361        ,-0.054            ,0.068                 
18:51:49.339055     ,0.000       ,0.000       ,-0.360      ,0.068         ,2147480369    ,71.807          ,60.000        ,0.209               ,-143.139        ,-0.113            ,0.018                 
18:51:49.525409     ,0.000       ,0.000       ,-0.300      ,0.032         ,2147479905    ,31.025          ,101.000       ,0.353               ,-142.810        ,-0.151            ,-0.039                
18:51:49.712808     ,0.000       ,0.000       ,-0.290      ,-0.003        ,2147479447    ,350.771         ,112.000       ,0.391               ,-142.450        ,-0.171            ,-0.093                
18:51:49.899270     ,0.000       ,0.000       ,-0.250      ,-0.035        ,2147479032    ,314.297         ,102.000       ,0.356               ,-142.128        ,-0.179            ,-0.133                
18:51:50.086680     ,0.000       ,0.000       ,0.120       ,-0.052        ,2147478800    ,293.906         ,76.000        ,0.265               ,-141.898        ,-0.174            ,-0.157                
18:51:50.272748     ,0.000       ,0.000       ,0.260       ,-0.047        ,2147478871    ,300.146         ,43.000        ,0.150               ,-141.764        ,-0.132            ,-0.161                
18:51:50.459380     ,0.000       ,0.000       ,0.350       ,-0.024        ,2147479166    ,326.074         ,9.000         ,0.031               ,-141.759        ,-0.049            ,-0.141                
18:51:50.645906     ,0.000       ,0.000       ,0.290       ,0.005         ,2147479553    ,0.088           ,-28.000       ,-0.098              ,-141.868        ,0.038             ,-0.099                
18:51:50.832583     ,0.000       ,0.000       ,0.240       ,0.039         ,2147479985    ,38.057          ,-64.000       ,-0.223              ,-142.088        ,0.099             ,-0.043                
18:51:51.019071     ,0.000       ,0.000       ,0.240       ,0.076         ,2147480471    ,80.771          ,-102.000      ,-0.356              ,-142.442        ,0.139             ,0.019                 
18:51:51.205906     ,0.000       ,0.000       ,0.160       ,0.116         ,2147480989    ,126.299         ,-119.000      ,-0.415              ,-142.825        ,0.170             ,0.079                 
18:51:51.392533     ,0.000       ,0.000       ,0.070       ,0.152         ,2147481468    ,168.398         ,-112.000      ,-0.391              ,-143.165        ,0.191             ,0.127                 
18:51:51.579734     ,0.000       ,0.000       ,-0.040      ,0.182         ,2147481850    ,201.973         ,-98.000       ,-0.342              ,-143.464        ,0.194             ,0.158                 
18:51:51.766553     ,0.000       ,0.000       ,-0.180      ,0.193         ,2147482000    ,215.156         ,-70.000       ,-0.244              ,-143.667        ,0.173             ,0.173                 
18:51:51.952714     ,0.000       ,0.000       ,-0.230      ,0.185         ,2147481889    ,205.400         ,-34.000       ,-0.119              ,-143.765        ,0.115             ,0.168                 
18:51:52.139041     ,0.000       ,0.000       ,-0.280      ,0.168         ,2147481672    ,186.328         ,-3.000        ,-0.010              ,-143.753        ,0.033             ,0.141                 
18:51:52.325777     ,0.000       ,0.000       ,-0.290      ,0.150         ,2147481434    ,165.410         ,32.000        ,0.112               ,-143.631        ,-0.029            ,0.097                 
18:51:52.512618     ,0.000       ,0.000       ,-0.360      ,0.129         ,2147481170    ,142.207         ,64.000        ,0.223               ,-143.422        ,-0.063            ,0.046                 
18:51:52.699172     ,0.000       ,0.000       ,-0.370      ,0.104         ,2147480844    ,113.555         ,80.000        ,0.279               ,-143.152        ,-0.086            ,-0.006                
18:51:52.885898     ,0.000       ,0.000       ,-0.340      ,0.076         ,2147480477    ,81.299          ,88.000        ,0.307               ,-142.861        ,-0.111            ,-0.051                
18:51:53.072776     ,0.000       ,0.000       ,-0.330      ,0.048         ,2147480106    ,48.691          ,78.000        ,0.272               ,-142.631        ,-0.131            ,-0.084                
18:51:53.259521     ,0.000       ,0.000       ,-0.290      ,0.021         ,2147479758    ,18.105          ,69.000        ,0.241               ,-142.415        ,-0.141            ,-0.106                
18:51:53.446218     ,0.000       ,0.000       ,-0.240      ,-0.003        ,2147479437    ,349.893         ,63.000        ,0.220               ,-142.215        ,-0.143            ,-0.122                
18:51:53.632758     ,0.000       ,0.000       ,-0.150      ,-0.021        ,2147479203    ,329.326         ,56.000        ,0.195               ,-142.049        ,-0.137            ,-0.132                
