Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
10:49:09.716273     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:09.733982     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:09.751729     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:09.769523     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:09.796111     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:09.813891     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:09.831635     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:09.849380     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:09.876020     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:09.893758     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:09.911503     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:09.929378     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:09.955910     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:09.973689     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:09.991402     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:10.017991     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:10.035745     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:10.053494     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:10.071254     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:10.097944     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
10:49:10.115756     ,0.000       ,0.000       ,0.000       ,0.000         ,2147481186    ,143.613         ,0.000         ,0.000               ,-0.000              ,-142.643        ,0.000             ,0.000                 
