Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
18:13:38.166105     ,0.000       ,0.000       ,0.000       ,0.000         ,0             ,0.000           ,0.000         ,0.000               ,-134.220        ,0.000             ,-0.000                
18:13:38.350809     ,0.000       ,0.000       ,0.010       ,0.000         ,0             ,0.000           ,0.000         ,0.000               ,-134.220        ,0.000             ,-0.000                
18:13:38.531285     ,0.000       ,0.000       ,-0.040      ,-0.000        ,2147483646    ,359.824         ,0.000         ,0.000               ,-134.220        ,0.000             ,-0.000                
18:13:38.651524     ,0.000       ,0.000       ,-0.060      ,-0.000        ,2147483643    ,359.561         ,0.000         ,0.000               ,-134.220        ,-0.000            ,-0.000                
18:13:38.831815     ,0.000       ,0.000       ,-0.060      ,-0.000        ,2147483643    ,359.561         ,0.000         ,0.000               ,-134.220        ,-0.000            ,-0.000                
18:13:39.014629     ,0.000       ,0.000       ,-0.080      ,-0.000        ,2147483642    ,359.473         ,0.000         ,0.000               ,-134.220        ,-0.001            ,-0.000                
18:13:39.195084     ,0.000       ,0.000       ,-0.230      ,-0.004        ,2147483596    ,355.430         ,1.000         ,0.003               ,-134.217        ,-0.000            ,-0.000                
18:13:39.375542     ,0.000       ,0.000       ,-0.400      ,-0.016        ,2147483442    ,341.895         ,30.000        ,0.105               ,-134.118        ,-0.006            ,-0.002                
18:13:39.556081     ,0.000       ,0.000       ,-0.370      ,-0.037        ,2147483160    ,317.109         ,72.000        ,0.251               ,-133.894        ,-0.031            ,-0.008                
18:13:39.738787     ,0.000       ,0.000       ,-0.290      ,-0.066        ,2147482788    ,284.414         ,144.000       ,0.503               ,-133.448        ,-0.071            ,-0.022                
18:13:39.919197     ,0.000       ,0.000       ,-0.280      ,-0.098        ,2147482374    ,248.027         ,200.000       ,0.698               ,-132.844        ,-0.106            ,-0.043                
18:13:40.100837     ,0.000       ,0.000       ,-0.260      ,-0.134        ,2147481900    ,206.367         ,241.000       ,0.841               ,-132.119        ,-0.142            ,-0.071                
18:13:40.223862     ,0.000       ,0.000       ,-0.230      ,-0.170        ,2147481431    ,165.146         ,249.000       ,0.869               ,-131.571        ,-0.165            ,-0.103                
18:13:40.404298     ,0.000       ,0.000       ,-0.140      ,-0.202        ,2147481019    ,128.936         ,251.000       ,0.876               ,-130.813        ,-0.165            ,-0.103                
18:13:40.585372     ,0.000       ,0.000       ,-0.040      ,-0.217        ,2147480824    ,111.797         ,197.000       ,0.688               ,-130.266        ,-0.181            ,-0.133                
18:13:40.768828     ,0.000       ,0.000       ,0.140       ,-0.220        ,2147480775    ,107.490         ,71.000        ,0.248               ,-130.109        ,-0.176            ,-0.154                
18:13:40.949201     ,0.000       ,0.000       ,0.240       ,-0.206        ,2147480956    ,123.398         ,-85.000       ,-0.297              ,-130.406        ,-0.116            ,-0.156                
18:13:41.129571     ,0.000       ,0.000       ,0.270       ,-0.184        ,2147481252    ,149.414         ,-235.000      ,-0.820              ,-131.149        ,-0.029            ,-0.133                
