Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
19:03:07.625254     ,0.000       ,0.000       ,0.210       ,-0.090        ,2147477956    ,219.727         ,-67.000       ,-0.234              ,-141.519        ,0.082             ,-0.005                
19:03:07.811684     ,0.000       ,0.000       ,0.210       ,-0.071        ,2147478206    ,241.699         ,-77.000       ,-0.269              ,-141.754        ,0.098             ,0.034                 
19:03:07.998333     ,0.000       ,0.000       ,0.110       ,-0.058        ,2147478377    ,256.729         ,-63.000       ,-0.220              ,-141.946        ,0.103             ,0.067                 
19:03:08.186412     ,0.000       ,0.000       ,-0.100      ,-0.061        ,2147478342    ,253.652         ,-34.000       ,-0.119              ,-142.048        ,0.093             ,0.086                 
19:03:08.373172     ,0.000       ,0.000       ,-0.220      ,-0.078        ,2147478114    ,233.613         ,-2.000        ,-0.007              ,-142.041        ,0.053             ,0.086                 
19:03:08.559641     ,0.000       ,0.000       ,-0.310      ,-0.104        ,2147477775    ,203.818         ,30.000        ,0.105               ,-141.939        ,-0.011            ,0.067                 
19:03:08.746211     ,0.000       ,0.000       ,-0.270      ,-0.133        ,2147477395    ,170.420         ,62.000        ,0.216               ,-141.731        ,-0.071            ,0.034                 
19:03:08.933021     ,0.000       ,0.000       ,-0.250      ,-0.163        ,2147477006    ,136.230         ,88.000        ,0.307               ,-141.444        ,-0.112            ,-0.009                
19:03:09.119397     ,0.000       ,0.000       ,-0.250      ,-0.191        ,2147476644    ,104.414         ,91.000        ,0.318               ,-141.167        ,-0.136            ,-0.055                
19:03:09.307642     ,0.000       ,0.000       ,-0.180      ,-0.214        ,2147476350    ,78.574          ,80.000        ,0.279               ,-140.913        ,-0.144            ,-0.095                
19:03:09.494523     ,0.000       ,0.000       ,0.090       ,-0.220        ,2147476269    ,71.455          ,56.000        ,0.195               ,-140.736        ,-0.139            ,-0.120                
19:03:09.681209     ,0.000       ,0.000       ,0.280       ,-0.203        ,2147476484    ,90.352          ,12.000        ,0.042               ,-140.719        ,-0.102            ,-0.126                
19:03:09.868647     ,0.000       ,0.000       ,0.370       ,-0.172        ,2147476890    ,126.035         ,-25.000       ,-0.087              ,-140.809        ,-0.023            ,-0.109                
19:03:10.056184     ,0.000       ,0.000       ,0.320       ,-0.132        ,2147477414    ,172.090         ,-68.000       ,-0.237              ,-141.025        ,0.063             ,-0.069                
19:03:10.242975     ,0.000       ,0.000       ,0.280       ,-0.088        ,2147477993    ,222.979         ,-106.000      ,-0.370              ,-141.346        ,0.132             ,-0.014                
19:03:10.429505     ,0.000       ,0.000       ,0.220       ,-0.043        ,2147478580    ,274.570         ,-131.000      ,-0.457              ,-141.773        ,0.183             ,0.051                 
19:03:10.616205     ,0.000       ,0.000       ,0.170       ,-0.001        ,2147479116    ,321.680         ,-133.000      ,-0.464              ,-142.198        ,0.213             ,0.114                 
19:03:10.802676     ,0.000       ,0.000       ,0.090       ,0.032         ,2147479547    ,359.561         ,-114.000      ,-0.398              ,-142.528        ,0.221             ,0.163                 
19:03:10.989221     ,0.000       ,0.000       ,0.040       ,0.050         ,2147479791    ,21.006          ,-76.000       ,-0.265              ,-142.746        ,0.207             ,0.191                 
19:03:11.176677     ,0.000       ,0.000       ,-0.390      ,0.042         ,2147479684    ,11.602          ,-31.000       ,-0.108              ,-142.821        ,0.166             ,0.198                 
19:03:11.363725     ,0.000       ,0.000       ,-0.490      ,0.015         ,2147479325    ,340.049         ,15.000        ,0.052               ,-142.761        ,0.081             ,0.177                 
19:03:11.550541     ,0.000       ,0.000       ,-0.410      ,-0.025        ,2147478808    ,294.609         ,68.000        ,0.237               ,-142.541        ,-0.022            ,0.131                 
19:03:11.737644     ,0.000       ,0.000       ,-0.320      ,-0.072        ,2147478196    ,240.820         ,114.000       ,0.398               ,-142.176        ,-0.108            ,0.065                 
19:03:11.924329     ,0.000       ,0.000       ,-0.270      ,-0.122        ,2147477546    ,183.691         ,143.000       ,0.499               ,-141.739        ,-0.176            ,-0.012                
19:03:12.111422     ,0.000       ,0.000       ,-0.190      ,-0.169        ,2147476938    ,130.254         ,154.000       ,0.538               ,-141.247        ,-0.220            ,-0.089                
19:03:12.298125     ,0.000       ,0.000       ,-0.020      ,-0.202        ,2147476498    ,91.582          ,126.000       ,0.440               ,-140.865        ,-0.240            ,-0.153                
19:03:12.484683     ,0.000       ,0.000       ,0.270       ,-0.209        ,2147476413    ,84.111          ,84.000        ,0.293               ,-140.635        ,-0.223            ,-0.194                
19:03:12.671389     ,0.000       ,0.000       ,0.340       ,-0.187        ,2147476693    ,108.721         ,21.000        ,0.073               ,-140.588        ,-0.153            ,-0.202                
19:03:12.858117     ,0.000       ,0.000       ,0.280       ,-0.153        ,2147477145    ,148.447         ,-38.000       ,-0.133              ,-140.717        ,-0.037            ,-0.175                
19:03:13.044692     ,0.000       ,0.000       ,0.150       ,-0.116        ,2147477624    ,190.547         ,-88.000       ,-0.307              ,-140.999        ,0.068             ,-0.117                
