Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
18:18:17.613788     ,0.000       ,0.000       ,0.010       ,-0.000        ,937           ,82.354          ,0.000         ,0.000               ,-134.435        ,0.000             ,0.000                 
18:18:17.807152     ,0.000       ,0.000       ,0.010       ,-0.000        ,937           ,82.354          ,0.000         ,0.000               ,-134.435        ,0.000             ,0.000                 
18:18:17.989356     ,0.000       ,0.000       ,0.020       ,-0.000        ,937           ,82.354          ,0.000         ,0.000               ,-134.435        ,0.000             ,0.000                 
18:18:18.169809     ,0.000       ,0.000       ,0.020       ,-0.000        ,937           ,82.354          ,0.000         ,0.000               ,-134.435        ,0.000             ,0.000                 
18:18:18.290021     ,0.000       ,0.000       ,0.030       ,-0.000        ,938           ,82.441          ,0.000         ,0.000               ,-134.435        ,0.000             ,0.000                 
18:18:18.473957     ,0.000       ,0.000       ,-0.050      ,-0.001        ,928           ,81.562          ,0.000         ,0.000               ,-134.435        ,0.000             ,0.000                 
18:18:18.654312     ,0.000       ,0.000       ,-0.310      ,-0.006        ,855           ,75.146          ,24.000        ,0.084               ,-134.360        ,-0.000            ,-0.000                
18:18:18.834787     ,0.000       ,0.000       ,-0.340      ,-0.020        ,682           ,59.941          ,94.000        ,0.328               ,-134.061        ,-0.012            ,-0.002                
18:18:19.015242     ,0.000       ,0.000       ,-0.350      ,-0.042        ,388           ,34.102          ,233.000       ,0.813               ,-133.324        ,-0.038            ,-0.010                
18:18:19.195678     ,0.000       ,0.000       ,-0.330      ,-0.069        ,41            ,3.604           ,430.000       ,1.501               ,-131.971        ,-0.072            ,-0.025                
18:18:19.376018     ,0.000       ,0.000       ,-0.230      ,-0.098        ,2147483311    ,330.381         ,542.000       ,1.892               ,-130.301        ,-0.106            ,-0.046                
18:18:19.556411     ,0.000       ,0.000       ,-0.270      ,-0.128        ,2147482918    ,295.840         ,548.000       ,1.913               ,-128.663        ,-0.133            ,-0.072                
18:18:19.743982     ,0.000       ,0.000       ,-0.210      ,-0.160        ,2147482500    ,259.102         ,439.000       ,1.532               ,-127.326        ,-0.149            ,-0.100                
18:18:19.924363     ,0.000       ,0.000       ,-0.150      ,-0.191        ,2147482094    ,223.418         ,283.000       ,0.988               ,-126.551        ,-0.162            ,-0.124                
18:18:20.104717     ,0.000       ,0.000       ,-0.040      ,-0.216        ,2147481770    ,194.941         ,96.000        ,0.335               ,-126.342        ,-0.171            ,-0.144                
18:18:20.285108     ,0.000       ,0.000       ,0.050       ,-0.229        ,2147481603    ,180.264         ,-93.000       ,-0.325              ,-126.696        ,-0.160            ,-0.155                
18:18:20.465661     ,0.000       ,0.000       ,0.280       ,-0.225        ,2147481650    ,184.395         ,-286.000      ,-0.998              ,-127.626        ,-0.123            ,-0.153                
18:18:20.646000     ,0.000       ,0.000       ,0.340       ,-0.212        ,2147481818    ,199.160         ,-563.000      ,-1.965              ,-129.386        ,-0.062            ,-0.136                
18:18:20.826322     ,0.000       ,0.000       ,0.300       ,-0.195        ,2147482051    ,219.639         ,-845.000      ,-2.950              ,-131.996        ,-0.001            ,-0.103                
18:18:21.014215     ,0.000       ,0.000       ,0.290       ,-0.175        ,2147482308    ,242.227         ,-965.000      ,-3.368              ,-135.093        ,0.046             ,-0.060                
18:18:21.194661     ,0.000       ,0.000       ,0.280       ,-0.155        ,2147482562    ,264.551         ,-839.000      ,-2.929              ,-137.546        ,0.077             ,-0.013                
18:18:21.314973     ,0.000       ,0.000       ,0.280       ,-0.136        ,2147482808    ,286.172         ,-557.000      ,-1.944              ,-138.436        ,0.094             ,0.031                 
18:18:21.495430     ,0.000       ,0.000       ,0.230       ,-0.119        ,2147483029    ,305.596         ,-408.000      ,-1.424              ,-139.591        ,0.094             ,0.031                 
18:18:21.677371     ,0.000       ,0.000       ,0.240       ,-0.109        ,2147483165    ,317.549         ,-71.000       ,-0.248              ,-139.709        ,0.100             ,0.063                 
18:18:21.857906     ,0.000       ,0.000       ,0.180       ,-0.093        ,2147483368    ,335.391         ,56.000        ,0.195               ,-139.496        ,0.095             ,0.082                 
18:18:22.038378     ,0.000       ,0.000       ,0.150       ,-0.075        ,2147483605    ,356.221         ,4.000         ,0.014               ,-139.489        ,0.092             ,0.092                 
