Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
17:14:16.783766     ,0.000       ,0.000       ,-0.020      ,0.002         ,24            ,2.109           ,1.000         ,0.003               ,-130.916        ,0.000             ,0.000                 
17:14:16.783801     ,0.000       ,0.000       ,-0.020      ,0.002         ,24            ,2.109           ,1.000         ,0.003               ,-130.916        ,0.000             ,0.000                 
17:14:16.909159     ,0.000       ,0.000       ,-0.020      ,0.002         ,24            ,2.109           ,1.000         ,0.003               ,-130.914        ,0.000             ,0.000                 
17:14:16.909193     ,0.000       ,0.000       ,-0.020      ,0.002         ,24            ,2.109           ,1.000         ,0.003               ,-130.914        ,0.000             ,0.000                 
17:14:17.035207     ,0.000       ,0.000       ,-0.030      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.912        ,0.000             ,0.000                 
17:14:17.035238     ,0.000       ,0.000       ,-0.030      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.912        ,0.000             ,0.000                 
17:14:17.160786     ,0.000       ,0.000       ,-0.030      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.910        ,0.000             ,0.000                 
17:14:17.160819     ,0.000       ,0.000       ,-0.030      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.910        ,0.000             ,0.000                 
17:14:17.287035     ,0.000       ,0.000       ,-0.030      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.908        ,0.000             ,0.000                 
17:14:17.287067     ,0.000       ,0.000       ,-0.030      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.908        ,0.000             ,0.000                 
17:14:17.412548     ,0.000       ,0.000       ,-0.030      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.907        ,0.000             ,0.000                 
17:14:17.412581     ,0.000       ,0.000       ,-0.030      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.907        ,0.000             ,0.000                 
17:14:17.538000     ,0.000       ,0.000       ,-0.050      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.905        ,0.000             ,0.000                 
17:14:17.538026     ,0.000       ,0.000       ,-0.050      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.905        ,0.000             ,0.000                 
17:14:17.663303     ,0.000       ,0.000       ,-0.050      ,0.002         ,22            ,1.934           ,1.000         ,0.003               ,-130.903        ,0.000             ,0.000                 
17:14:17.663336     ,0.000       ,0.000       ,-0.050      ,0.002         ,22            ,1.934           ,1.000         ,0.003               ,-130.903        ,0.000             ,0.000                 
17:14:17.788681     ,0.000       ,0.000       ,-0.050      ,0.002         ,22            ,1.934           ,1.000         ,0.003               ,-130.901        ,0.000             ,0.000                 
17:14:17.788724     ,0.000       ,0.000       ,-0.050      ,0.002         ,22            ,1.934           ,1.000         ,0.003               ,-130.901        ,0.000             ,0.000                 
17:14:17.914133     ,0.000       ,0.000       ,-0.050      ,0.002         ,22            ,1.934           ,1.000         ,0.003               ,-130.898        ,0.000             ,0.000                 
17:14:17.914169     ,0.000       ,0.000       ,-0.050      ,0.002         ,22            ,1.934           ,1.000         ,0.003               ,-130.898        ,0.000             ,0.000                 
17:14:18.040019     ,0.000       ,0.000       ,-0.030      ,0.002         ,22            ,1.934           ,1.000         ,0.003               ,-130.896        ,0.000             ,0.000                 
17:14:18.040054     ,0.000       ,0.000       ,-0.030      ,0.002         ,22            ,1.934           ,1.000         ,0.003               ,-130.896        ,0.000             ,0.000                 
17:14:18.165343     ,0.000       ,0.000       ,-0.030      ,0.002         ,22            ,1.934           ,1.000         ,0.003               ,-130.893        ,0.000             ,0.000                 
17:14:18.165375     ,0.000       ,0.000       ,-0.030      ,0.002         ,22            ,1.934           ,1.000         ,0.003               ,-130.893        ,0.000             ,0.000                 
17:14:18.291299     ,0.000       ,0.000       ,-0.030      ,0.002         ,22            ,1.934           ,1.000         ,0.003               ,-130.891        ,0.000             ,0.000                 
17:14:18.291326     ,0.000       ,0.000       ,-0.030      ,0.002         ,22            ,1.934           ,1.000         ,0.003               ,-130.891        ,0.000             ,0.000                 
17:14:18.416695     ,0.000       ,0.000       ,-0.030      ,0.002         ,22            ,1.934           ,1.000         ,0.003               ,-130.889        ,0.000             ,0.000                 
17:14:18.416729     ,0.000       ,0.000       ,-0.030      ,0.002         ,22            ,1.934           ,1.000         ,0.003               ,-130.889        ,0.000             ,0.000                 
17:14:18.542190     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.887        ,0.000             ,0.000                 
17:14:18.542214     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.887        ,0.000             ,0.000                 
17:14:18.667589     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.884        ,0.000             ,0.000                 
17:14:18.667611     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.884        ,0.000             ,0.000                 
17:14:18.792984     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.882        ,0.000             ,0.000                 
17:14:18.793012     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.882        ,0.000             ,0.000                 
17:14:18.918916     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,2.000         ,0.007               ,-130.878        ,0.000             ,0.000                 
17:14:18.918944     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,2.000         ,0.007               ,-130.878        ,0.000             ,0.000                 
17:14:19.044639     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.876        ,0.000             ,0.000                 
17:14:19.044672     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.876        ,0.000             ,0.000                 
17:14:19.170006     ,0.000       ,0.000       ,-0.010      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.873        ,0.000             ,0.000                 
17:14:19.170036     ,0.000       ,0.000       ,-0.010      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.873        ,0.000             ,0.000                 
17:14:19.295458     ,0.000       ,0.000       ,-0.010      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.872        ,0.000             ,0.000                 
17:14:19.295491     ,0.000       ,0.000       ,-0.010      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.872        ,0.000             ,0.000                 
17:14:19.420887     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.870        ,0.000             ,0.000                 
17:14:19.420915     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.870        ,0.000             ,0.000                 
17:14:19.546391     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.868        ,0.000             ,0.000                 
17:14:19.546423     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.868        ,0.000             ,0.000                 
17:14:19.671769     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.866        ,0.000             ,0.000                 
17:14:19.671800     ,0.000       ,0.000       ,-0.020      ,0.002         ,23            ,2.021           ,1.000         ,0.003               ,-130.866        ,0.000             ,0.000                 
