Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
17:41:35.630525     ,0.000       ,0.000       ,0.080       ,-0.023        ,3326          ,292.324         ,-8.000        ,-0.028              ,-132.333        ,-0.003            ,-0.017                
17:41:35.810844     ,0.000       ,0.000       ,0.080       ,-0.023        ,3326          ,292.324         ,-4.000        ,-0.014              ,-132.346        ,-0.001            ,-0.008                
17:41:35.991132     ,0.000       ,0.000       ,0.230       ,-0.023        ,3326          ,292.324         ,-2.000        ,-0.007              ,-132.351        ,-0.001            ,-0.004                
17:41:36.171487     ,0.000       ,0.000       ,0.310       ,0.000         ,3625          ,318.604         ,-20.000       ,-0.070              ,-132.420        ,-0.000            ,-0.002                
17:41:36.351810     ,0.000       ,0.000       ,0.330       ,0.011         ,3765          ,330.908         ,-29.000       ,-0.101              ,-132.511        ,0.055             ,0.010                 
17:41:36.539336     ,0.000       ,0.000       ,0.340       ,0.025         ,3946          ,346.816         ,-38.000       ,-0.133              ,-132.629        ,0.056             ,0.022                 
17:41:36.659535     ,0.000       ,0.000       ,0.300       ,0.041         ,4155          ,5.186           ,-49.000       ,-0.171              ,-132.734        ,0.064             ,0.035                 
17:41:36.839897     ,0.000       ,0.000       ,0.270       ,0.058         ,4373          ,24.346          ,-55.000       ,-0.192              ,-132.899        ,0.064             ,0.035                 
17:41:37.023860     ,0.000       ,0.000       ,0.280       ,0.069         ,4522          ,37.441          ,-63.000       ,-0.220              ,-133.104        ,0.076             ,0.050                 
17:41:37.204223     ,0.000       ,0.000       ,0.240       ,0.085         ,4725          ,55.283          ,-63.000       ,-0.220              ,-133.294        ,0.083             ,0.067                 
17:41:37.384536     ,0.000       ,0.000       ,0.180       ,0.096         ,4869          ,67.939          ,-60.000       ,-0.209              ,-133.471        ,0.087             ,0.073                 
17:41:37.564944     ,0.000       ,0.000       ,-0.160      ,0.091         ,4809          ,62.666          ,-37.000       ,-0.129              ,-133.578        ,0.079             ,0.078                 
17:41:37.745361     ,0.000       ,0.000       ,-0.230      ,0.072         ,4567          ,41.396          ,-8.000        ,-0.028              ,-133.592        ,0.036             ,0.073                 
17:41:37.925842     ,0.000       ,0.000       ,-0.240      ,0.046         ,4216          ,10.547          ,23.000        ,0.080               ,-133.516        ,-0.027            ,0.052                 
