Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
18:43:05.357899     ,0.000       ,0.000       ,0.010       ,-0.000        ,2147478280    ,248.203         ,0.000         ,0.000               ,-141.818        ,0.000             ,0.000                 
18:43:05.542268     ,0.000       ,0.000       ,0.010       ,-0.000        ,2147478280    ,248.203         ,0.000         ,0.000               ,-141.818        ,0.000             ,0.000                 
18:43:05.722956     ,0.000       ,0.000       ,0.010       ,-0.000        ,2147478280    ,248.203         ,0.000         ,0.000               ,-141.818        ,0.000             ,0.000                 
18:43:05.903276     ,0.000       ,0.000       ,0.010       ,-0.000        ,2147478280    ,248.203         ,0.000         ,0.000               ,-141.818        ,0.000             ,0.000                 
18:43:06.083618     ,0.000       ,0.000       ,0.010       ,-0.000        ,2147478280    ,248.203         ,0.000         ,0.000               ,-141.818        ,0.000             ,0.000                 
18:43:06.263973     ,0.000       ,0.000       ,0.010       ,-0.000        ,2147478280    ,248.203         ,0.000         ,0.000               ,-141.818        ,0.000             ,0.000                 
18:43:06.444353     ,0.000       ,0.000       ,0.010       ,-0.000        ,2147478280    ,248.203         ,0.000         ,0.000               ,-141.818        ,0.000             ,0.000                 
18:43:06.624745     ,0.000       ,0.000       ,0.010       ,-0.000        ,2147478280    ,248.203         ,0.000         ,0.000               ,-141.818        ,0.000             ,0.000                 
18:43:06.805189     ,0.000       ,0.000       ,0.080       ,0.001         ,2147478289    ,248.994         ,0.000         ,0.000               ,-141.818        ,0.000             ,0.000                 
18:43:06.985553     ,0.000       ,0.000       ,0.460       ,0.007         ,2147478375    ,256.553         ,0.000         ,0.000               ,-141.819        ,0.001             ,0.000                 
18:43:07.165962     ,0.000       ,0.000       ,0.520       ,0.028         ,2147478640    ,279.844         ,-13.000       ,-0.045              ,-141.861        ,0.011             ,0.002                 
18:43:07.346485     ,0.000       ,0.000       ,0.360       ,0.058         ,2147479038    ,314.824         ,-37.000       ,-0.129              ,-141.983        ,0.051             ,0.013                 
18:43:07.527040     ,0.000       ,0.000       ,0.340       ,0.092         ,2147479484    ,354.023         ,-59.000       ,-0.206              ,-142.166        ,0.104             ,0.033                 
18:43:07.739667     ,0.000       ,0.000       ,0.330       ,0.130         ,2147479971    ,36.826          ,-81.000       ,-0.283              ,-142.455        ,0.145             ,0.062                 
18:43:07.922540     ,0.000       ,0.000       ,0.300       ,0.180         ,2147480631    ,94.834          ,-102.000      ,-0.356              ,-142.766        ,0.173             ,0.097                 
18:43:08.103081     ,0.000       ,0.000       ,0.140       ,0.221         ,2147481168    ,142.031         ,-105.000      ,-0.367              ,-143.083        ,0.200             ,0.135                 
18:43:08.289884     ,0.000       ,0.000       ,0.000       ,0.255         ,2147481602    ,180.176         ,-93.000       ,-0.325              ,-143.380        ,0.217             ,0.168                 
18:43:08.470513     ,0.000       ,0.000       ,-0.230      ,0.269         ,2147481783    ,196.084         ,-72.000       ,-0.251              ,-143.591        ,0.206             ,0.188                 
18:43:08.651004     ,0.000       ,0.000       ,-0.340      ,0.259         ,2147481654    ,184.746         ,-31.000       ,-0.108              ,-143.665        ,0.162             ,0.192                 
18:43:08.836302     ,0.000       ,0.000       ,-0.490      ,0.227         ,2147481247    ,148.975         ,21.000        ,0.073               ,-143.592        ,0.069             ,0.171                 
18:43:09.016792     ,0.000       ,0.000       ,-0.450      ,0.189         ,2147480739    ,104.326         ,69.000        ,0.241               ,-143.374        ,-0.035            ,0.124                 
18:43:09.197240     ,0.000       ,0.000       ,-0.410      ,0.143         ,2147480141    ,51.768          ,118.000       ,0.412               ,-143.009        ,-0.119            ,0.056                 
18:43:09.377596     ,0.000       ,0.000       ,-0.360      ,0.091         ,2147479473    ,353.057         ,147.000       ,0.513               ,-142.556        ,-0.182            ,-0.021                
18:43:09.563466     ,0.000       ,0.000       ,-0.280      ,0.035         ,2147478732    ,287.930         ,160.000       ,0.559               ,-142.039        ,-0.229            ,-0.099                
18:43:09.743882     ,0.000       ,0.000       ,-0.340      ,-0.023        ,2147477981    ,221.924         ,150.000       ,0.524               ,-141.592        ,-0.260            ,-0.165                
18:43:09.924236     ,0.000       ,0.000       ,-0.370      ,-0.087        ,2147477152    ,149.062         ,147.000       ,0.513               ,-141.153        ,-0.291            ,-0.216                
18:43:10.104668     ,0.000       ,0.000       ,0.000       ,-0.143        ,2147476416    ,84.375          ,139.000       ,0.485               ,-140.740        ,-0.317            ,-0.256                
18:43:10.285049     ,0.000       ,0.000       ,0.240       ,-0.176        ,2147475985    ,46.494          ,115.000       ,0.401               ,-140.406        ,-0.327            ,-0.285                
18:43:10.465571     ,0.000       ,0.000       ,0.370       ,-0.177        ,2147475969    ,45.088          ,61.000        ,0.213               ,-140.252        ,-0.277            ,-0.294                
