Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
09:01:13.709563     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:13.736184     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:13.753914     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:13.771656     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:13.789376     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:13.816021     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:13.833761     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:13.851516     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:13.869262     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:13.895929     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:13.913718     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:13.931582     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:13.949401     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:13.976150     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:13.993902     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:14.011676     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:14.029434     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:14.056030     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:14.073757     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:14.091547     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
09:01:14.109457     ,0.000       ,0.000       ,0.020       ,-0.000        ,2147478445    ,262.705         ,0.000         ,0.000               ,-0.000              ,-143.064        ,0.000             ,0.000                 
