Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
17:29:03.616599     ,0.000       ,0.000       ,-0.060      ,0.001         ,2223          ,195.381         ,1.000         ,0.003               ,-131.523        ,0.000             ,0.000                 
17:29:03.673081     ,0.000       ,0.000       ,-0.060      ,0.001         ,2223          ,195.381         ,1.000         ,0.003               ,-131.523        ,0.000             ,0.000                 
17:29:03.693106     ,0.000       ,0.000       ,-0.060      ,0.001         ,2223          ,195.381         ,1.000         ,0.003               ,-131.521        ,0.000             ,0.000                 
17:29:03.799158     ,0.000       ,0.000       ,-0.060      ,0.001         ,2223          ,195.381         ,1.000         ,0.003               ,-131.521        ,0.000             ,0.000                 
17:29:03.819174     ,0.000       ,0.000       ,-0.040      ,0.001         ,2223          ,195.381         ,1.000         ,0.003               ,-131.520        ,0.000             ,0.000                 
17:29:03.925579     ,0.000       ,0.000       ,-0.040      ,0.001         ,2223          ,195.381         ,1.000         ,0.003               ,-131.520        ,0.000             ,0.000                 
17:29:03.945606     ,0.000       ,0.000       ,-0.040      ,0.001         ,2223          ,195.381         ,1.000         ,0.003               ,-131.518        ,0.000             ,0.000                 
17:29:04.050997     ,0.000       ,0.000       ,-0.040      ,0.001         ,2223          ,195.381         ,1.000         ,0.003               ,-131.518        ,0.000             ,0.000                 
17:29:04.071016     ,0.000       ,0.000       ,-0.040      ,0.001         ,2223          ,195.381         ,1.000         ,0.003               ,-131.516        ,0.000             ,0.000                 
17:29:04.176129     ,0.000       ,0.000       ,-0.040      ,0.001         ,2223          ,195.381         ,1.000         ,0.003               ,-131.516        ,0.000             ,0.000                 
17:29:04.196143     ,0.000       ,0.000       ,-0.040      ,0.001         ,2223          ,195.381         ,1.000         ,0.003               ,-131.514        ,0.000             ,0.000                 
17:29:04.301583     ,0.000       ,0.000       ,-0.040      ,0.001         ,2223          ,195.381         ,1.000         ,0.003               ,-131.514        ,0.000             ,0.000                 
17:29:04.321601     ,0.000       ,0.000       ,-0.040      ,0.001         ,2223          ,195.381         ,1.000         ,0.003               ,-131.512        ,0.000             ,0.000                 
17:29:04.427378     ,0.000       ,0.000       ,-0.040      ,0.001         ,2223          ,195.381         ,1.000         ,0.003               ,-131.512        ,0.000             ,0.000                 
17:29:04.447390     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.511        ,0.000             ,0.000                 
17:29:04.552776     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.511        ,0.000             ,0.000                 
17:29:04.572802     ,0.000       ,0.000       ,-0.030      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.508        ,0.000             ,0.000                 
17:29:04.734924     ,0.000       ,0.000       ,-0.030      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.508        ,0.000             ,0.000                 
17:29:04.755001     ,0.000       ,0.000       ,-0.030      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.506        ,0.000             ,0.000                 
17:29:04.858200     ,0.000       ,0.000       ,-0.030      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.506        ,0.000             ,0.000                 
17:29:04.878216     ,0.000       ,0.000       ,-0.030      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.503        ,0.000             ,0.000                 
17:29:04.984162     ,0.000       ,0.000       ,-0.030      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.503        ,0.000             ,0.000                 
17:29:05.004180     ,0.000       ,0.000       ,-0.030      ,0.001         ,2224          ,195.469         ,2.000         ,0.007               ,-131.498        ,0.000             ,0.000                 
17:29:05.109959     ,0.000       ,0.000       ,-0.030      ,0.001         ,2224          ,195.469         ,2.000         ,0.007               ,-131.498        ,0.000             ,0.000                 
17:29:05.129977     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.496        ,0.000             ,0.000                 
17:29:05.236052     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.496        ,0.000             ,0.000                 
17:29:05.256100     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.493        ,0.000             ,0.000                 
17:29:05.362026     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.493        ,0.000             ,0.000                 
17:29:05.382040     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.491        ,0.000             ,0.000                 
17:29:05.488057     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.491        ,0.000             ,0.000                 
17:29:05.508076     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.489        ,0.000             ,0.000                 
17:29:05.613693     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.489        ,0.000             ,0.000                 
17:29:05.633732     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.487        ,0.000             ,0.000                 
17:29:05.739249     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.487        ,0.000             ,0.000                 
17:29:05.759261     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.486        ,0.000             ,0.000                 
17:29:05.865092     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.486        ,0.000             ,0.000                 
17:29:05.885106     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.484        ,0.000             ,0.000                 
17:29:05.990630     ,0.000       ,0.000       ,-0.040      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.484        ,0.000             ,0.000                 
17:29:06.010648     ,0.000       ,0.000       ,-0.060      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.482        ,0.000             ,0.000                 
17:29:06.116834     ,0.000       ,0.000       ,-0.060      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.482        ,0.000             ,0.000                 
17:29:06.136863     ,0.000       ,0.000       ,-0.060      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.481        ,0.000             ,0.000                 
17:29:06.242579     ,0.000       ,0.000       ,-0.060      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.481        ,0.000             ,0.000                 
17:29:06.262594     ,0.000       ,0.000       ,-0.060      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.479        ,0.000             ,0.000                 
17:29:06.368256     ,0.000       ,0.000       ,-0.060      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.479        ,0.000             ,0.000                 
17:29:06.388282     ,0.000       ,0.000       ,-0.060      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.477        ,0.000             ,0.000                 
17:29:06.493898     ,0.000       ,0.000       ,-0.060      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.477        ,0.000             ,0.000                 
17:29:06.513913     ,0.000       ,0.000       ,-0.060      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.475        ,0.000             ,0.000                 
17:29:06.619812     ,0.000       ,0.000       ,-0.060      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.475        ,0.000             ,0.000                 
17:29:06.639839     ,0.000       ,0.000       ,-0.060      ,0.001         ,2224          ,195.469         ,1.000         ,0.003               ,-131.474        ,0.000             ,0.000                 
