Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
19:08:00.554299     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.572070     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.589933     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.616431     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.634198     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.652035     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.678668     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.696427     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.714213     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.732276     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.758729     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.776527     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.794274     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.812136     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.838655     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.856382     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.874109     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.891997     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.918507     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.936246     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.954045     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.971890     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:00.998520     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.016238     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.034044     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.052009     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.078545     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.096359     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.114232     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.140882     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.158616     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.176347     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.194283     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.220892     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.238686     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.256591     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.274319     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.300971     ,0.000       ,0.000       ,0.010       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.318697     ,0.000       ,0.000       ,0.010       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.336418     ,0.000       ,0.000       ,0.010       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
19:08:01.354333     ,0.000       ,0.000       ,0.010       ,0.000         ,2147478488    ,266.484         ,0.000         ,0.000               ,-141.856        ,0.000             ,0.000                 
