Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
17:33:12.776980     ,0.000       ,0.000       ,0.050       ,-0.071        ,1294          ,113.730         ,-16.000       ,-0.056              ,-130.878        ,0.005             ,0.019                 
17:33:12.956894     ,0.000       ,0.000       ,0.050       ,-0.071        ,1294          ,113.730         ,-16.000       ,-0.056              ,-130.878        ,0.005             ,0.019                 
17:33:12.977052     ,0.000       ,0.000       ,-0.100      ,-0.072        ,1279          ,112.412         ,-1.000        ,-0.003              ,-130.881        ,0.003             ,0.019                 
17:33:13.260107     ,0.000       ,0.000       ,-0.100      ,-0.072        ,1279          ,112.412         ,-1.000        ,-0.003              ,-130.881        ,0.003             ,0.019                 
17:33:13.280162     ,0.000       ,0.000       ,-0.220      ,-0.075        ,1244          ,109.336         ,4.000         ,0.014               ,-130.868        ,0.001             ,0.012                 
17:33:13.441289     ,0.000       ,0.000       ,-0.220      ,-0.075        ,1244          ,109.336         ,4.000         ,0.014               ,-130.868        ,0.001             ,0.012                 
17:33:13.461312     ,0.000       ,0.000       ,-0.290      ,-0.092        ,1018          ,89.473          ,9.000         ,0.031               ,-130.823        ,-0.003            ,0.004                 
17:33:13.744704     ,0.000       ,0.000       ,-0.290      ,-0.092        ,1018          ,89.473          ,9.000         ,0.031               ,-130.823        ,-0.003            ,0.004                 
17:33:13.764729     ,0.000       ,0.000       ,-0.260      ,-0.102        ,899           ,79.014          ,15.000        ,0.052               ,-130.786        ,-0.018            ,-0.002                
17:33:13.869028     ,0.000       ,0.000       ,-0.260      ,-0.102        ,899           ,79.014          ,15.000        ,0.052               ,-130.786        ,-0.018            ,-0.002                
17:33:13.889055     ,0.000       ,0.000       ,-0.290      ,-0.117        ,699           ,61.436          ,19.000        ,0.066               ,-130.727        ,-0.018            ,-0.002                
