Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
19:29:34.186265     ,0.000       ,0.000       ,0.040       ,-0.000        ,2147480237    ,60.205          ,0.000         ,0.000               ,-142.477        ,0.000             ,0.000                 
19:29:34.204065     ,0.000       ,0.000       ,0.040       ,-0.000        ,2147480237    ,60.205          ,0.000         ,0.000               ,-142.477        ,0.000             ,0.000                 
19:29:34.221976     ,0.000       ,0.000       ,0.040       ,-0.000        ,2147480237    ,60.205          ,0.000         ,0.000               ,-142.477        ,0.000             ,0.000                 
19:29:34.239711     ,0.000       ,0.000       ,0.040       ,-0.000        ,2147480237    ,60.205          ,0.000         ,0.000               ,-142.477        ,0.000             ,0.000                 
19:29:34.257602     ,0.000       ,0.000       ,0.040       ,-0.000        ,2147480237    ,60.205          ,0.000         ,0.000               ,-142.477        ,0.000             ,0.000                 
19:29:34.284071     ,0.000       ,0.000       ,0.040       ,-0.000        ,2147480237    ,60.205          ,0.000         ,0.000               ,-142.477        ,0.000             ,0.000                 
19:29:34.301851     ,0.000       ,0.000       ,0.040       ,-0.000        ,2147480237    ,60.205          ,0.000         ,0.000               ,-142.477        ,0.000             ,0.000                 
19:29:34.319562     ,0.000       ,0.000       ,0.040       ,-0.000        ,2147480237    ,60.205          ,0.000         ,0.000               ,-142.477        ,0.000             ,0.000                 
19:29:34.346267     ,0.000       ,0.000       ,0.040       ,0.000         ,2147480238    ,60.293          ,0.000         ,0.000               ,-142.477        ,0.000             ,0.000                 
19:29:34.363913     ,0.000       ,0.000       ,0.040       ,0.000         ,2147480239    ,60.381          ,0.000         ,0.000               ,-142.477        ,0.000             ,0.000                 
19:29:34.381704     ,0.000       ,0.000       ,0.100       ,0.000         ,2147480240    ,60.469          ,0.000         ,0.000               ,-142.477        ,0.000             ,0.000                 
