Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
17:19:14.025397     ,0.000       ,0.000       ,0.000       ,0.000         ,16            ,1.406           ,0.000         ,0.000               ,-130.843        ,0.000             ,0.000                 
17:19:14.025424     ,0.000       ,0.000       ,0.000       ,0.000         ,16            ,1.406           ,0.000         ,0.000               ,-130.843        ,0.000             ,0.000                 
17:19:14.330091     ,0.000       ,0.000       ,0.000       ,0.000         ,16            ,1.406           ,0.000         ,0.000               ,-130.843        ,0.000             ,0.000                 
17:19:14.330114     ,0.000       ,0.000       ,0.000       ,0.000         ,16            ,1.406           ,0.000         ,0.000               ,-130.843        ,0.000             ,0.000                 
17:19:14.635557     ,0.000       ,0.000       ,0.010       ,0.000         ,16            ,1.406           ,0.000         ,0.000               ,-130.843        ,0.000             ,0.000                 
17:19:14.635591     ,0.000       ,0.000       ,0.010       ,0.000         ,16            ,1.406           ,0.000         ,0.000               ,-130.843        ,0.000             ,0.000                 
17:19:14.940187     ,0.000       ,0.000       ,0.010       ,0.000         ,16            ,1.406           ,0.000         ,0.000               ,-130.843        ,0.000             ,0.000                 
17:19:14.940219     ,0.000       ,0.000       ,0.010       ,0.000         ,16            ,1.406           ,0.000         ,0.000               ,-130.843        ,0.000             ,0.000                 
17:19:15.121244     ,0.000       ,0.000       ,0.020       ,0.000         ,19            ,1.670           ,0.000         ,0.000               ,-130.843        ,0.000             ,0.000                 
17:19:15.121277     ,0.000       ,0.000       ,0.020       ,0.000         ,19            ,1.670           ,0.000         ,0.000               ,-130.843        ,0.000             ,0.000                 
17:19:15.424431     ,0.000       ,0.000       ,0.480       ,0.006         ,93            ,8.174           ,0.000         ,0.000               ,-130.843        ,0.000             ,0.000                 
17:19:15.424464     ,0.000       ,0.000       ,0.480       ,0.006         ,93            ,8.174           ,0.000         ,0.000               ,-130.843        ,0.001             ,0.000                 
17:19:15.605726     ,0.000       ,0.000       ,0.510       ,0.017         ,233           ,20.479          ,0.000         ,0.000               ,-130.843        ,0.001             ,0.000                 
17:19:15.605781     ,0.000       ,0.000       ,0.510       ,0.017         ,233           ,20.479          ,0.000         ,0.000               ,-130.843        ,0.018             ,0.004                 
17:19:15.908974     ,0.000       ,0.000       ,0.390       ,0.076         ,1009          ,88.682          ,-7.000        ,-0.024              ,-130.873        ,0.018             ,0.004                 
17:19:15.909006     ,0.000       ,0.000       ,0.390       ,0.076         ,1009          ,88.682          ,-7.000        ,-0.024              ,-130.873        ,0.069             ,0.018                 
17:19:16.213906     ,0.000       ,0.000       ,0.190       ,0.141         ,1856          ,163.125         ,-22.000       ,-0.077              ,-130.975        ,0.069             ,0.018                 
17:19:16.213950     ,0.000       ,0.000       ,0.190       ,0.141         ,1856          ,163.125         ,-22.000       ,-0.077              ,-130.975        ,0.131             ,0.044                 
17:19:16.518774     ,0.000       ,0.000       ,0.040       ,0.197         ,2584          ,227.109         ,-35.000       ,-0.122              ,-131.147        ,0.131             ,0.044                 
17:19:16.518798     ,0.000       ,0.000       ,0.040       ,0.197         ,2584          ,227.109         ,-35.000       ,-0.122              ,-131.147        ,0.171             ,0.078                 
17:19:16.824288     ,0.000       ,0.000       ,-0.280      ,0.214         ,2801          ,246.182         ,-43.000       ,-0.150              ,-131.363        ,0.171             ,0.078                 
17:19:16.824314     ,0.000       ,0.000       ,-0.280      ,0.214         ,2801          ,246.182         ,-43.000       ,-0.150              ,-131.363        ,0.168             ,0.111                 
17:19:17.005761     ,0.000       ,0.000       ,-0.400      ,0.201         ,2643          ,232.295         ,-44.000       ,-0.154              ,-131.505        ,0.168             ,0.111                 
17:19:17.005823     ,0.000       ,0.000       ,-0.400      ,0.201         ,2643          ,232.295         ,-44.000       ,-0.154              ,-131.505        ,0.087             ,0.125                 
17:19:17.309245     ,0.000       ,0.000       ,-0.410      ,0.131         ,1729          ,151.963         ,-29.000       ,-0.101              ,-131.650        ,0.087             ,0.125                 
17:19:17.309282     ,0.000       ,0.000       ,-0.410      ,0.131         ,1729          ,151.963         ,-29.000       ,-0.101              ,-131.650        ,-0.030            ,0.105                 
17:19:17.489971     ,0.000       ,0.000       ,-0.370      ,0.101         ,1335          ,117.334         ,-8.000        ,-0.028              ,-131.669        ,-0.030            ,0.105                 
17:19:17.490006     ,0.000       ,0.000       ,-0.370      ,0.101         ,1335          ,117.334         ,-8.000        ,-0.028              ,-131.669        ,-0.125            ,0.054                 
17:19:17.793094     ,0.000       ,0.000       ,-0.220      ,0.012         ,170           ,14.941          ,22.000        ,0.077               ,-131.575        ,-0.125            ,0.054                 
17:19:17.793127     ,0.000       ,0.000       ,-0.220      ,0.012         ,170           ,14.941          ,22.000        ,0.077               ,-131.575        ,-0.185            ,-0.017                
17:19:17.974732     ,0.000       ,0.000       ,-0.170      ,-0.018        ,2147483432    ,341.016         ,44.000        ,0.154               ,-131.430        ,-0.185            ,-0.017                
17:19:17.974760     ,0.000       ,0.000       ,-0.170      ,-0.018        ,2147483432    ,341.016         ,44.000        ,0.154               ,-131.430        ,-0.217            ,-0.094                
17:19:18.097337     ,0.000       ,0.000       ,-0.080      ,-0.055        ,2147482948    ,298.477         ,61.000        ,0.213               ,-131.296        ,-0.217            ,-0.094                
17:19:18.097371     ,0.000       ,0.000       ,-0.080      ,-0.055        ,2147482948    ,298.477         ,61.000        ,0.213               ,-131.296        ,-0.217            ,-0.094                
17:19:18.277768     ,0.000       ,0.000       ,0.000       ,-0.082        ,2147482589    ,266.924         ,66.000        ,0.230               ,-131.096        ,-0.217            ,-0.094                
17:19:18.277808     ,0.000       ,0.000       ,0.000       ,-0.082        ,2147482589    ,266.924         ,66.000        ,0.230               ,-131.096        ,-0.216            ,-0.155                
17:19:18.583613     ,0.000       ,0.000       ,0.220       ,-0.089        ,2147482499    ,259.014         ,65.000        ,0.227               ,-130.752        ,-0.216            ,-0.155                
17:19:18.583644     ,0.000       ,0.000       ,0.220       ,-0.089        ,2147482499    ,259.014         ,65.000        ,0.227               ,-130.752        ,-0.182            ,-0.185                
17:19:18.888450     ,0.000       ,0.000       ,0.100       ,-0.055        ,2147482950    ,298.652         ,55.000        ,0.192               ,-130.477        ,-0.182            ,-0.185                
17:19:18.888478     ,0.000       ,0.000       ,0.100       ,-0.055        ,2147482950    ,298.652         ,55.000        ,0.192               ,-130.477        ,-0.081            ,-0.176                
17:19:19.193654     ,0.000       ,0.000       ,0.140       ,-0.014        ,2147483477    ,344.971         ,31.000        ,0.108               ,-130.309        ,-0.081            ,-0.176                
17:19:19.193686     ,0.000       ,0.000       ,0.140       ,-0.014        ,2147483477    ,344.971         ,31.000        ,0.108               ,-130.309        ,0.022             ,-0.135                
17:19:19.375051     ,0.000       ,0.000       ,0.170       ,-0.001        ,9             ,0.791           ,11.000        ,0.038               ,-130.286        ,0.022             ,-0.135                
17:19:19.375084     ,0.000       ,0.000       ,0.170       ,-0.001        ,9             ,0.791           ,11.000        ,0.038               ,-130.286        ,0.075             ,-0.077                
17:19:19.678064     ,0.000       ,0.000       ,0.230       ,0.033         ,440           ,38.672          ,-7.000        ,-0.024              ,-130.313        ,0.075             ,-0.077                
17:19:19.678090     ,0.000       ,0.000       ,0.230       ,0.033         ,440           ,38.672          ,-7.000        ,-0.024              ,-130.313        ,0.087             ,-0.016                
17:19:19.859593     ,0.000       ,0.000       ,0.230       ,0.043         ,579           ,50.889          ,-23.000       ,-0.080              ,-130.387        ,0.087             ,-0.016                
17:19:19.859629     ,0.000       ,0.000       ,0.230       ,0.043         ,579           ,50.889          ,-23.000       ,-0.080              ,-130.387        ,0.088             ,0.038                 
17:19:20.163303     ,0.000       ,0.000       ,0.280       ,0.076         ,1010          ,88.770          ,-32.000       ,-0.112              ,-130.557        ,0.088             ,0.038                 
17:19:20.163345     ,0.000       ,0.000       ,0.280       ,0.076         ,1010          ,88.770          ,-32.000       ,-0.112              ,-130.557        ,0.088             ,0.038                 
17:19:20.468220     ,0.000       ,0.000       ,0.280       ,0.113         ,1489          ,130.869         ,-31.000       ,-0.108              ,-130.714        ,0.086             ,0.072                 
17:19:20.468251     ,0.000       ,0.000       ,0.280       ,0.113         ,1489          ,130.869         ,-31.000       ,-0.108              ,-130.714        ,0.086             ,0.072                 
17:19:20.772896     ,0.000       ,0.000       ,0.190       ,0.154         ,2022          ,177.715         ,-32.000       ,-0.112              ,-130.874        ,0.093             ,0.086                 
17:19:20.772932     ,0.000       ,0.000       ,0.190       ,0.154         ,2022          ,177.715         ,-32.000       ,-0.112              ,-130.874        ,0.109             ,0.093                 
17:19:20.954183     ,0.000       ,0.000       ,0.100       ,0.169         ,2216          ,194.766         ,-32.000       ,-0.112              ,-130.971        ,0.109             ,0.093                 
17:19:20.954219     ,0.000       ,0.000       ,0.100       ,0.169         ,2216          ,194.766         ,-32.000       ,-0.112              ,-130.971        ,0.121             ,0.099                 
17:19:21.257156     ,0.000       ,0.000       ,-0.260      ,0.174         ,2291          ,201.357         ,-34.000       ,-0.119              ,-131.135        ,0.121             ,0.099                 
17:19:21.257184     ,0.000       ,0.000       ,-0.260      ,0.174         ,2291          ,201.357         ,-34.000       ,-0.119              ,-131.135        ,0.106             ,0.103                 
17:19:21.618690     ,0.000       ,0.000       ,-0.320      ,0.124         ,1629          ,143.174         ,-25.000       ,-0.087              ,-131.294        ,0.106             ,0.103                 
17:19:21.618721     ,0.000       ,0.000       ,-0.320      ,0.124         ,1629          ,143.174         ,-25.000       ,-0.087              ,-131.294        ,0.033             ,0.092                 
17:19:21.921673     ,0.000       ,0.000       ,-0.230      ,0.077         ,1018          ,89.473          ,-11.000       ,-0.038              ,-131.350        ,0.033             ,0.092                 
17:19:21.921717     ,0.000       ,0.000       ,-0.230      ,0.077         ,1018          ,89.473          ,-11.000       ,-0.038              ,-131.350        ,-0.061            ,0.062                 
17:19:22.226948     ,0.000       ,0.000       ,-0.220      ,0.037         ,495           ,43.506          ,2.000         ,0.007               ,-131.346        ,-0.061            ,0.062                 
17:19:22.226986     ,0.000       ,0.000       ,-0.220      ,0.037         ,495           ,43.506          ,2.000         ,0.007               ,-131.346        ,-0.103            ,0.019                 
17:19:22.408504     ,0.000       ,0.000       ,-0.160      ,0.024         ,331           ,29.092          ,15.000        ,0.052               ,-131.297        ,-0.103            ,0.019                 
17:19:22.408545     ,0.000       ,0.000       ,-0.160      ,0.024         ,331           ,29.092          ,15.000        ,0.052               ,-131.297        ,-0.114            ,-0.028                
17:19:22.711782     ,0.000       ,0.000       ,0.160       ,0.025         ,340           ,29.883          ,32.000        ,0.112               ,-131.134        ,-0.114            ,-0.028                
