Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
09:41:26.675319     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.701740     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.719537     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.737436     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.755415     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.781752     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.799527     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.817286     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.835201     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.861706     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.879439     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.897121     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.915058     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.942024     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.959778     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.977547     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:26.995427     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.022080     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.040052     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.057735     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.075652     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.102095     ,0.000       ,0.000       ,0.000       ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.119880     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.137598     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.155540     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.182113     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.200073     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.217957     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.236053     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.262850     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.280719     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.298381     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.316281     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.342703     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.360493     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.378370     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.396335     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.423125     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.441057     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.459135     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.477029     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.504014     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.521770     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.539486     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.557250     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.583843     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.601595     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.619366     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.637125     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.663712     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.681455     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478212    ,242.227         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.699185     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147478213    ,242.314         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.717141     ,0.000       ,0.000       ,0.040       ,0.000         ,2147478214    ,242.402         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.743930     ,0.000       ,0.000       ,0.040       ,0.000         ,2147478215    ,242.490         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.761690     ,0.000       ,0.000       ,0.040       ,0.000         ,2147478218    ,242.754         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
09:41:27.779394     ,0.000       ,0.000       ,0.040       ,0.001         ,2147478222    ,243.105         ,0.000         ,0.000               ,0.000               ,-142.924        ,0.000             ,0.000                 
