Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorTheoryVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
10:08:32.916422     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:32.934342     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:32.960717     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:32.978555     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:32.996265     ,0.000       ,0.000       ,-0.010      ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.014183     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.040674     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.058362     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.076146     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.094108     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.120679     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.138426     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.156160     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.182863     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.200897     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.218651     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.236417     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.263036     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476991    ,134.912         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.280833     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476992    ,135.000         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.298591     ,0.000       ,0.000       ,0.000       ,0.000         ,2147476993    ,135.088         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.316479     ,0.000       ,0.000       ,0.040       ,0.000         ,2147476994    ,135.176         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.342965     ,0.000       ,0.000       ,0.040       ,0.000         ,2147476996    ,135.352         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.360680     ,0.000       ,0.000       ,0.040       ,0.001         ,2147476998    ,135.527         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.378457     ,0.000       ,0.000       ,0.040       ,0.001         ,2147476999    ,135.615         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.396355     ,0.000       ,0.000       ,0.040       ,0.001         ,2147477001    ,135.791         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.423148     ,0.000       ,0.000       ,0.120       ,0.001         ,2147477002    ,135.879         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.441146     ,0.000       ,0.000       ,0.120       ,0.001         ,2147477003    ,135.967         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.458874     ,0.000       ,0.000       ,0.120       ,0.001         ,2147477003    ,135.967         ,0.000         ,0.000               ,0.000               ,-142.404        ,0.000             ,0.000                 
10:08:33.476757     ,0.000       ,0.000       ,0.120       ,0.001         ,2147477003    ,135.967         ,0.000         ,0.000               ,0.001               ,-142.404        ,0.003             ,0.001                 
10:08:33.504256     ,0.000       ,0.000       ,0.010       ,0.001         ,2147477001    ,135.791         ,0.000         ,0.000               ,0.001               ,-142.404        ,0.003             ,0.001                 
10:08:33.522061     ,0.000       ,0.000       ,0.010       ,0.001         ,2147476998    ,135.527         ,0.000         ,0.000               ,0.001               ,-142.404        ,0.003             ,0.001                 
10:08:33.539798     ,0.000       ,0.000       ,0.010       ,0.000         ,2147476994    ,135.176         ,0.000         ,0.000               ,0.001               ,-142.404        ,0.003             ,0.001                 
