Time                ,Current(A)  ,Voltage(V)  ,Pressure(kg),RopeLength(m) ,EncoderValue  ,EncoderAngle(deg),MotorSpeed(rpm),MotorLinearVel(m/s) ,MotorPosition(m),RopeVelocityRaw(m/s),RopeVelocityFiltered(m/s)
18:29:46.293126     ,0.000       ,0.000       ,-0.010      ,0.000         ,1968          ,172.969         ,0.000         ,0.000               ,-156.225        ,0.000             ,0.000                 
18:29:46.473915     ,0.000       ,0.000       ,-0.010      ,0.000         ,1968          ,172.969         ,0.000         ,0.000               ,-156.225        ,0.000             ,0.000                 
18:29:46.654565     ,0.000       ,0.000       ,-0.010      ,0.000         ,1968          ,172.969         ,0.000         ,0.000               ,-156.225        ,0.000             ,0.000                 
18:29:46.835050     ,0.000       ,0.000       ,-0.010      ,0.000         ,1968          ,172.969         ,0.000         ,0.000               ,-156.225        ,0.000             ,0.000                 
18:29:47.015564     ,0.000       ,0.000       ,-0.030      ,0.000         ,1968          ,172.969         ,0.000         ,0.000               ,-156.225        ,0.000             ,0.000                 
18:29:47.196137     ,0.000       ,0.000       ,-0.030      ,0.000         ,1968          ,172.969         ,0.000         ,0.000               ,-156.225        ,0.000             ,0.000                 
18:29:47.377142     ,0.000       ,0.000       ,-0.030      ,0.000         ,1968          ,172.969         ,0.000         ,0.000               ,-156.225        ,0.000             ,0.000                 
18:29:47.558435     ,0.000       ,0.000       ,0.090       ,0.001         ,1983          ,174.287         ,0.000         ,0.000               ,-156.225        ,0.000             ,0.000                 
18:29:47.739074     ,0.000       ,0.000       ,0.220       ,0.006         ,2046          ,179.824         ,-25.000       ,-0.087              ,-156.311        ,0.001             ,0.000                 
18:29:47.919666     ,0.000       ,0.000       ,0.240       ,0.011         ,2105          ,185.010         ,-53.000       ,-0.185              ,-156.483        ,0.012             ,0.003                 
18:29:48.100250     ,0.000       ,0.000       ,0.060       ,0.013         ,2131          ,187.295         ,-60.000       ,-0.209              ,-156.665        ,0.019             ,0.006                 
18:29:48.286631     ,0.000       ,0.000       ,-0.040      ,0.006         ,2045          ,179.736         ,-56.000       ,-0.195              ,-156.834        ,0.019             ,0.010                 
18:29:48.467029     ,0.000       ,0.000       ,-0.370      ,-0.017        ,1742          ,153.105         ,143.000       ,0.499               ,-156.363        ,0.002             ,0.011                 
18:29:48.647423     ,0.000       ,0.000       ,-0.400      ,-0.048        ,1338          ,117.598         ,400.000       ,1.396               ,-155.017        ,-0.050            ,0.000                 
18:29:48.827888     ,0.000       ,0.000       ,-0.400      ,-0.084        ,871           ,76.553          ,664.000       ,2.318               ,-152.917        ,-0.107            ,-0.023                
18:29:49.008425     ,0.000       ,0.000       ,-0.390      ,-0.124        ,353           ,31.025          ,845.000       ,2.950               ,-150.309        ,-0.150            ,-0.057                
18:29:49.188846     ,0.000       ,0.000       ,-0.410      ,-0.168        ,2147483420    ,339.961         ,845.000       ,2.950               ,-147.785        ,-0.181            ,-0.097                
18:29:49.369406     ,0.000       ,0.000       ,-0.410      ,-0.220        ,2147482751    ,281.162         ,687.000       ,2.398               ,-145.821        ,-0.210            ,-0.139                
18:29:49.549926     ,0.000       ,0.000       ,-0.240      ,-0.274        ,2147482044    ,219.023         ,468.000       ,1.634               ,-144.543        ,-0.242            ,-0.178                
18:29:49.730306     ,0.000       ,0.000       ,-0.070      ,-0.319        ,2147481451    ,166.904         ,273.000       ,0.953               ,-143.837        ,-0.272            ,-0.211                
18:29:49.852983     ,0.000       ,0.000       ,-0.110      ,-0.353        ,2147481008    ,127.969         ,197.000       ,0.688               ,-143.500        ,-0.271            ,-0.235                
18:29:50.033348     ,0.000       ,0.000       ,-0.070      ,-0.375        ,2147480720    ,102.656         ,75.000        ,0.262               ,-143.361        ,-0.271            ,-0.235                
18:29:50.217883     ,0.000       ,0.000       ,-0.290      ,-0.387        ,2147480573    ,89.736          ,-152.000      ,-0.531              ,-143.908        ,-0.233            ,-0.246                
18:29:50.398389     ,0.000       ,0.000       ,-0.230      ,-0.405        ,2147480329    ,68.291          ,-389.000      ,-1.358              ,-145.175        ,-0.172            ,-0.238                
18:29:50.578847     ,0.000       ,0.000       ,-0.210      ,-0.429        ,2147480027    ,41.748          ,-568.000      ,-1.983              ,-146.956        ,-0.134            ,-0.217                
18:29:50.759242     ,0.000       ,0.000       ,-0.160      ,-0.455        ,2147479678    ,11.074          ,-560.000      ,-1.955              ,-148.619        ,-0.128            ,-0.188                
18:29:50.939752     ,0.000       ,0.000       ,-0.160      ,-0.485        ,2147479291    ,337.061         ,-320.000      ,-1.117              ,-149.451        ,-0.136            ,-0.161                
18:29:51.120177     ,0.000       ,0.000       ,-0.150      ,-0.518        ,2147478858    ,299.004         ,67.000        ,0.234               ,-149.064        ,-0.148            ,-0.144                
18:29:51.300572     ,0.000       ,0.000       ,-0.210      ,-0.551        ,2147478434    ,261.738         ,367.000       ,1.281               ,-147.835        ,-0.163            ,-0.142                
18:29:51.480979     ,0.000       ,0.000       ,-0.170      ,-0.579        ,2147478067    ,229.482         ,395.000       ,1.379               ,-146.641        ,-0.174            ,-0.150                
18:29:51.661513     ,0.000       ,0.000       ,-0.110      ,-0.602        ,2147477769    ,203.291         ,147.000       ,0.513               ,-146.295        ,-0.168            ,-0.158                
18:29:51.842004     ,0.000       ,0.000       ,0.090       ,-0.612        ,2147477636    ,191.602         ,-176.000      ,-0.614              ,-146.943        ,-0.154            ,-0.162                
18:29:52.022518     ,0.000       ,0.000       ,0.320       ,-0.605        ,2147477727    ,199.600         ,-495.000      ,-1.728              ,-148.544        ,-0.118            ,-0.156                
